2016-3-17,2016,26,10,262.15,302.425,0,0.54,-0.28,0.5275,Severe (>50% Bleached),-7.84359,157.09666
2016-3-17,2016,12,11.7,262.15,302.425,0,0.54,-0.28,0.5275,Moderate (11-50% Bleached),-7.8414,157.07823
2016-5-4,2016,38,4,299.32,300.39,0,2.78,-0.08,2.75,Severe (>50% Bleached),-6.69964,39.26325
2016-5-4,2016,29,2,299.32,300.39,0,2.78,-0.08,2.75,Moderate (11-50% Bleached),-6.6965,39.2587
2016-5-2,2016,30,4,299.62,300.41,0,4.96,0.09,4.9,Moderate (11-50% Bleached),-6.66154,39.25013
2016-5-5,2016,59,4,299.34,300.41,0,4.96,0.03,4.9,Severe (>50% Bleached),-6.65798,39.26098
2016-5-5,2016,59,8,299.34,300.41,0,4.96,0.03,4.9,Severe (>50% Bleached),-6.65798,39.26098
2016-5-2,2016,44,2,299.62,300.41,0,2.96,0.16,2.88,Severe (>50% Bleached),-6.65438,39.24391
2016-4-30,2016,39,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.28475,39.17642
2016-4-30,2016,39,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.28475,39.17642
2016-4-30,2016,35,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.28475,39.17642
2016-4-30,2016,44,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.28475,39.17642
2016-4-30,2016,47,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.27716,39.17437
2016-4-30,2016,41,3,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.27716,39.17437
2016-4-30,2016,32,5,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.27716,39.17437
2016-4-30,2016,50,2,299.77,300.49,0,9.67,0.34,6.96,Severe (>50% Bleached),-6.27716,39.17437
2016-4-29,2016,40,3.5,299.79,300.52,0,8.04,0.14,7.84,Severe (>50% Bleached),-6.15619,39.12228
