2009-9-22,8,295.68,293.35,0,0,-2.36,0,No Bleaching
2009-10-25,10,262.15,293.026666666667,0,0,-2.75666666666667,0,No Bleaching
2008-8-10,7,262.15,293.026666666667,0,5.38333333333333,1.73333333333333,1.23333333333333,No Bleaching
2008-7-6,10,298.41,292.91,0,10.07,-4.29,0,Mild (1-10% Bleached)
2008-7-13,10,298.58,292.91,0,10.07,-2.06,0,No Bleaching
2008-7-6,10,298.41,292.91,0,10.07,-4.29,0,Mild (1-10% Bleached)
2008-7-13,10,298.58,292.91,0,10.07,-2.06,0,No Bleaching
2008-7-12,10,298.58,292.91,0,10.07,-2.06,0,No Bleaching
2008-7-13,10,298.58,292.91,0,10.07,-2.06,0,No Bleaching
2008-7-15,7,298.58,292.91,0,10.07,-2.06,0,No Bleaching
2008-7-20,10,298.65,292.91,0,6.91,-0.09,0,No Bleaching
2008-7-6,10,298.41,292.91,0,10.07,-4.29,0,Mild (1-10% Bleached)
2010-7-20,8,298.65,292.91,0,8.18,1.34,0,No Bleaching
2010-3-6,10,289.05,292.91,0,2.02,-11.02,0,No Bleaching
2012-3-4,15,262.15,293.005,0,7.625,-9.875,0,No Bleaching
2010-3-6,18,288.9,292.81,0,2.16,-10.9,0,No Bleaching
2010-7-20,16,298.63,292.81,0,2.85,-1.88,0,No Bleaching
2008-8-9,17,298.23,292.81,0,4.51,-0.32,0,No Bleaching
2008-8-9,17,298.23,292.81,0,4.51,-0.32,0,No Bleaching
2012-3-4,17,262.15,293.005,0,7.625,-9.875,0,No Bleaching
2008-6-15,18,262.15,293.005,0,6.1625,-5.75,0,No Bleaching
2010-7-20,18,262.15,293.005,0,2.6225,0.74,0,No Bleaching
2012-3-4,15,262.15,293.005,0,7.625,-9.875,0,No Bleaching
2010-7-15,6,262.15,293.005,0,2.6225,0.74,0,No Bleaching
2008-3-16,8,289.36,292.85,0,0,-10.44,0,No Bleaching
2008-8-31,25,297.06,292.85,0,5.05,-1.03,2.01,No Bleaching
2008-10-11,15,293.35,292.85,0,7.63,-1.04,4.17,No Bleaching
2007-9-17,3,262.15,292.74,0,1.35,-0.88,1.07,No Bleaching
2010-2-21,20,262.15,292.84,0,4.162,-10.882,0,No Bleaching
2008-9-21,7,262.15,292.84,0,11.366,-0.456,4.954,No Bleaching
2008-10-26,15,291.26,292.74,0,14.41,-2.95,6.46,No Bleaching
2010-2-7,7,287.48,292.58,0,6.75,-11.65,0,No Bleaching
2008-8-30,16,262.15,292.582857142857,0,6.33857142857143,-0.288571428571429,5.09285714285714,No Bleaching
2008-8-11,1.2,297.75,292.49,0,7.56,1.31,3.52,No Bleaching
2009-10-4,3,293.28,292.49,0,3.17,-3.82,2.12,No Bleaching
2008-7-21,4,298.4,292.49,0,8.77,-0.75,0,No Bleaching
2008-8-11,2,297.69,292.44,0,5.13,1.96,2.22,No Bleaching
2008-7-5,5,298.22,292.44,0,10.47,-3.65,0,No Bleaching
2009-9-27,1,262.15,292.433333333333,0,2.89333333333333,-2.26666666666667,2.42666666666667,No Bleaching
2008-7-20,5,299.35,291.38,0,3.7,1.19,0,No Bleaching
2016-9-10,6,299.48,298.85,0,11.5,-0.92,6.88,Severe (>50% Bleached)
